question,answer,cot_reasoning,difficulty,main_topic,sub_topic,main_format,sub_format,question_number,chunk_index,batch_number,book_name,page_number_range
What does the `A[length]` in the pseudocode refer to in the context of insertion sort?,"In the pseudocode for insertion sort, `A[length]` refers to the last element of the array `A`.","In the pseudocode for insertion sort, `A[length]` refers to the last element of the array `A`. Since the array length is denoted by `A:length`, this is the element that the algorithm will consider for insertion in the next iteration of the for loop.",Easy,DSA,"Array Indexing, Insertion Sort",Objective,Fill_blank,11,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
What is the primary reason insertion sort is considered a stable sorting algorithm?,The primary reason insertion sort is considered a stable sorting algorithm is that it maintains the relative order of equal elements.,"Insertion sort is considered a stable sorting algorithm because it maintains the relative order of equal elements. In each iteration, when an element is moved, it does not change the order of other elements that are equal to it. This stability property is ensured by the while loop condition `i > 0 and A[i] > key` and the subsequent movement of elements only when they are greater than `key`.",Easy,DSA,"Stability, Insertion Sort",Objective,Conceptual,12,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
What is the average time complexity of the `key` assignment operation in the pseudocode for insertion sort?,The average time complexity of the `key` assignment operation in the pseudocode for insertion sort is O(1).,"The `key` assignment operation in the pseudocode for insertion sort, `key = A[j]`, has a time complexity of O(1) because it involves simply retrieving a single element from the array.",Easy,DSA,"Asymptotic Analysis, Insertion Sort",Objective,MCQ,13,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
What is the time complexity of the insertion sort algorithm in the worst-case scenario?,The worst-case time complexity of insertion sort is O(n^2).,"The worst-case time complexity of insertion sort occurs when the input array is reverse-sorted. In this case, each element needs to be shifted to the front of the array, resulting in a time complexity of O(n^2), where n is the number of elements in the array.",Medium,DSA,"Asymptotic Analysis, Insertion Sort",Objective,MCQ,14,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
How does insertion sort handle duplicate elements in the array?,Insertion sort handles duplicate elements by maintaining their relative order due to its stability. It ensures that the order of equal elements is preserved during the sorting process.,"Insertion sort handles duplicate elements by maintaining their relative order due to its stability. Each time an element is placed in its correct position, it does not affect the relative order of other equal elements. This means that duplicate elements remain in their original order after the sort.",Easy,DSA,"Stability, Insertion Sort",Objective,Conceptual,15,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
What does the pseudocode for insertion sort do with the `key` value once it has been placed in its correct position?,"Once the `key` value has been placed in its correct position within the subarray `A[1:j-1]`, the pseudocode for insertion sort assigns the `key` value to `A[i+1]`, effectively shifting the element to the right to make space for the `key` and then placing the `key` at the correct position.","Once the `key` value has been placed in its correct position within the subarray `A[1:j-1]`, the pseudocode for insertion sort simply assigns the `key` value to `A[i+1]`, effectively shifting the element to the right to make space for the `key` and then placing the `key` at the correct position.",Easy,DSA,"Insertion Sort, Algorithm Steps",Objective,Conceptual,16,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
Why does the pseudocode for insertion sort not require additional storage for the sorted subarray?,"The pseudocode for insertion sort does not require additional storage for the sorted subarray because it sorts the elements in place, using the same array `A` for both the unsorted and sorted portions.","The pseudocode for insertion sort does not require additional storage for the sorted subarray because it sorts the elements in place. The sorted subarray is maintained within the array `A`, and no extra memory is allocated for another array to store the sorted elements.",Easy,DSA,"In-place Sorting, Insertion Sort",Objective,Conceptual,17,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
What is the role of the `i` decrement operation in the while loop of the pseudocode for insertion sort?,The role of the `i` decrement operation in the while loop of the pseudocode for insertion sort is to help find the correct position for the `key` value by moving the larger elements in the sorted subarray (`A[1:j-1]`) one position to the right.,"The `i` decrement operation in the while loop of the pseudocode for insertion sort helps to find the correct position for the `key` value. As `i` decreases, the algorithm moves the larger elements in the sorted subarray (`A[1:j-1]`) one position to the right to make space for the `key` value, thereby finding the correct position to place the `key`.",Easy,DSA,"Loop Invariants, Insertion Sort",Objective,Conceptual,18,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
What does the pseudocode for insertion sort do when the subarray `A[1:j-1]` is already sorted?,"When the subarray `A[1:j-1]` is already sorted, the pseudocode for insertion sort skips the inner while loop and directly places the `key` at the correct position (`i+1`), terminating the loop.","When the subarray `A[1:j-1]` is already sorted, the pseudocode for insertion sort simply skips the inner while loop. This happens because the condition `i > 0 and A[i] > key` will never be true, as there are no elements in `A[1:j-1]` that are greater than `key`. Hence, the `key` is immediately placed at the correct position (`i+1`), and the loop terminates.",Easy,DSA,"Loop Invariants, Insertion Sort",Objective,Conceptual,19,1,1,Introduction to Algorithms - CLRS 3rd Edition,37 - 46
What happens to the running time of INSERTION-SORT when the input array is already sorted?,"In the best case, the running time of INSERTION-SORT is T(n) = (c1 + c2 + c4 + c5 + c8)n - (c2 + c4 + c5 + c8).","In the best case, the input array is already sorted. According to the text, in the best case, tj = 1 for j = 2, 3, ..., n. This means that in lines 5-8 of the pseudocode, the comparison A[i] <= key always holds true until the end of the loop, leading to tj = 1 for all j. This results in the running time being T(n) = c1n + c2(n-1) + c4(n-1) + c5(n-1) + c8(n-1) = (c1 + c2 + c4 + c5 + c8)n - (c2 + c4 + c5 + c8).",Medium,DSA,Insertion Sort,Objective,MCQ,1,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What happens to the running time of INSERTION-SORT when the input array is in reverse sorted order?,"In the worst case, the running time of INSERTION-SORT is T(n) = n^2 * (c5/2 + c6/2 + c7/2) + n * (c1 + c2 + c4 + c5 - c6 - c7 - c8) - (c2 + c4 + c5 + c8).","For the worst case, the input array is in reverse sorted order. According to the text, tj = j for j = 2, 3, ..., n. This means that in lines 5-8 of the pseudocode, tj = j for all j, leading to a different running time. The worst-case running time is calculated as T(n) = c1n + c2(n-1) + c4(n-1) + c5(n-1) + c6(n-1) + c7(n-1) + c8(n-1). By substituting the summation formulas provided, we find that this simplifies to T(n) = n^2 * (c5/2 + c6/2 + c7/2) + n * (c1 + c2 + c4 + c5 - c6 - c7 - c8) - (c2 + c4 + c5 + c8).",Medium,DSA,Insertion Sort,Objective,MCQ,2,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What simplifying abstraction is used to analyze the worst-case running time of INSERTION-SORT?,"The simplifying abstraction used to analyze the worst-case running time of INSERTION-SORT is expressing the worst-case running time as an2 + bn + c, focusing on the leading term.","To simplify the analysis, the text ignores the actual statement costs and the constants ci representing them. It expresses the worst-case running time as an2 + bn + c, focusing on the leading term. This abstraction helps in understanding the order of growth of the running time without the intricacies of individual statements and their costs.",Easy,DSA,Analysis of Algorithms,Objective,Fill_blank,3,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
Why do we ignore the constants ci and the actual statement costs while analyzing the worst-case running time of INSERTION-SORT?,"We ignore the constants ci and the actual statement costs while analyzing the worst-case running time of INSERTION-SORT to focus on the order of growth, which is better captured by a simplified expression like an2 + bn + c.","When analyzing the worst-case running time of INSERTION-SORT, the focus is on the order of growth, or the rate at which the running time increases as the input size n grows. The constants ci and the specific statement costs are considered too detailed for this high-level analysis. By ignoring them, we can express the worst-case running time simply as an2 + bn + c, where a, b, and c are constants dependent on ci. This abstraction helps in understanding the fundamental relationship between input size and running time.",Medium,DSA,Analysis of Algorithms,Subjective,Conceptual,4,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
How does the average-case running time of INSERTION-SORT compare to the worst-case running time?,"The average-case running time of INSERTION-SORT is roughly as bad as the worst-case running time, both being quadratic functions of the input size.","According to the text, the average-case running time of INSERTION-SORT is roughly as bad as the worst-case running time. When randomly choosing n numbers and applying insertion sort, on average, tj is about j/2. This leads to the average-case running time being a quadratic function of the input size, just like the worst-case running time. Hence, the average-case and worst-case running times are similar.",Easy,DSA,Insertion Sort,Objective,MCQ,5,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What is the significance of considering the average-case running time of an algorithm?,"The significance of considering the average-case running time of an algorithm is that it provides a more realistic estimate of the algorithm's performance on typical or average inputs, giving a sense of the expected run-time for practical applications.","Considering the average-case running time of an algorithm is significant because it provides a more realistic estimate of the algorithm's performance. It tells us how the algorithm behaves on a typical or average input, rather than just the best or worst-case scenarios. This analysis is important because it gives a sense of the expected run-time for practical applications, which can help in making informed decisions about algorithm choice and implementation.",Medium,DSA,Algorithm Performance Analysis,Subjective,Conceptual,6,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
Why might an algorithm's worst-case running time be misleading for real-world usage?,"An algorithm's worst-case running time might be misleading for real-world usage because it represents the maximum possible time the algorithm could take for any input, which may not reflect the typical or common scenarios. Most real-world inputs are likely to fall between the best and worst cases, making the worst-case running time less relevant for practical considerations.","An algorithm's worst-case running time might be misleading for real-world usage because it represents the maximum possible time the algorithm could take for any input, which may not reflect the typical or common scenarios. For many algorithms, especially sorting algorithms, the worst-case scenario (e.g., already sorted or reverse sorted) is relatively rare. Most real-world inputs are likely to fall somewhere between the best and worst cases, making the worst-case running time less relevant for practical considerations.",Medium,DSA,Algorithm Performance Analysis,Subjective,Conceptual,7,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What is the difference between worst-case and average-case analysis of an algorithm?,"The difference between worst-case and average-case analysis of an algorithm lies in their objectives. Worst-case analysis examines the longest possible running time that an algorithm can take on any input, providing an upper bound on the running time. Average-case analysis, however, considers the expected running time over all possible inputs, assuming they are equally likely, giving a more realistic expectation of the algorithm's performance on practical inputs.","The worst-case analysis focuses on the longest possible running time that an algorithm can take on any input of a given size, providing an upper bound on the running time. Average-case analysis, on the other hand, looks at the expected running time over all possible inputs, assuming they are equally likely. While worst-case analysis guarantees the algorithm will never take longer than this bound, average-case analysis gives a more realistic expectation of the algorithm's performance on practical inputs.",Medium,DSA,Algorithm Performance Analysis,Subjective,Conceptual,8,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
Why do we consider the average-case running time instead of the worst-case when performing probabilistic analysis?,"When performing probabilistic analysis, we consider the average-case running time instead of the worst-case because real-world inputs are typically distributed according to a probability distribution. The worst-case analysis does not account for this variability and can lead to overly pessimistic estimates. By focusing on the average-case, we get a better estimate of the algorithm's expected performance on typical inputs, which is often more useful for practical purposes.","When performing probabilistic analysis, we consider the average-case running time instead of the worst-case because real-world inputs are typically distributed according to a probability distribution. The worst-case analysis does not account for this variability and can lead to overly pessimistic estimates. By focusing on the average-case, we get a better estimate of the algorithm's expected performance on typical inputs, which is often more useful for practical purposes.",Medium,DSA,Probabilistic Analysis,Subjective,Conceptual,9,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
How does the order of growth affect the computational efficiency of an algorithm?,"The order of growth affects the computational efficiency of an algorithm by determining how the running time increases with the input size. Algorithms with higher orders of growth (like quadratic or cubic) are less efficient for large input sizes compared to those with lower orders (like linear or logarithmic). Understanding the order of growth helps in identifying and prioritizing algorithms that perform better for larger inputs, aiding in making informed choices.","The order of growth, or the rate at which the running time increases as the input size n grows, significantly affects the computational efficiency of an algorithm. Algorithms with higher orders of growth (such as quadratic or cubic) are generally less efficient for large input sizes compared to those with lower orders (like linear or logarithmic). Understanding the order of growth allows us to identify and prioritize algorithms that perform better for larger inputs, helping in choosing the most appropriate algorithm for practical situations.",Medium,DSA,Analysis of Algorithms,Subjective,Conceptual,10,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What does it mean when we say that an algorithm’s running time is fixed for a given input?,"When we say that an algorithm’s running time is fixed for a given input, it means that once the input size is known, the running time of the algorithm can be precisely determined without further computation. This implies that the algorithm consistently performs the same number of operations for a given input size, regardless of how the data is initially organized or the sequence of operations.","When we say that an algorithm’s running time is fixed for a given input, it means that once the input size is known, the running time of the algorithm can be precisely determined without further computation. This implies that the algorithm consistently performs the same number of operations for a given input size, regardless of how the data is initially organized or the sequence of operations.",Easy,DSA,Algorithm Efficiency,Objective,Fill_blank,11,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
"In the context of INSERTION-SORT, why do we focus on the worst-case running time in the analysis?","In the context of INSERTION-SORT, we focus on the worst-case running time in the analysis because it provides an upper bound on the running time for any input. Knowing the worst-case running time gives us a guarantee that the algorithm will never take more time than this bound, ensuring a safety margin that is crucial for practical applications.","In the context of INSERTION-SORT, we focus on the worst-case running time in the analysis because it provides an upper bound on the running time for any input. Knowing the worst-case running time gives us a guarantee that the algorithm will never take more time than this bound, regardless of the input. While the best-case and average-case running times can offer insights into optimal and expected performance, the worst-case ensures a safety margin that is crucial for practical applications.",Medium,DSA,Insertion Sort,Objective,MCQ,12,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What simplifying abstraction is made when expressing the worst-case running time of INSERTION-SORT as an2 + bn + c?,"When expressing the worst-case running time of INSERTION-SORT as an2 + bn + c, the simplifying abstraction is made by focusing on the leading term and ignoring lower-order terms and constant coefficients. This abstraction highlights the primary rate of growth, which is quadratic, and emphasizes that the running time is dominated by the n2 term for large values of n.","When expressing the worst-case running time of INSERTION-SORT as an2 + bn + c, we make the simplifying abstraction of focusing on the leading term and ignoring lower-order terms and constant coefficients. This abstraction allows us to highlight the primary rate of growth, which is quadratic, and emphasizes that the running time is dominated by the n2 term for large values of n. By doing so, we reduce the complexity to a simpler form that captures the essential characteristics of the algorithm's performance.",Medium,DSA,Analysis of Algorithms,Objective,Fill_blank,13,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What is the significance of ignoring the actual statement costs and constants ci when analyzing the worst-case running time of INSERTION-SORT?,"Ignoring the actual statement costs and constants ci when analyzing the worst-case running time of INSERTION-SORT simplifies the analysis by focusing on the dominant term (n2) and ignoring lower-order terms and constants. This abstraction helps in determining that the running time is primarily driven by the n2 term, which is the most significant factor for large input sizes. The constants and lower-order terms are considered less critical in determining the overall computational efficiency.","Ignoring the actual statement costs and constants ci when analyzing the worst-case running time of INSERTION-SORT simplifies the analysis. By focusing solely on the dominant term (n2) and ignoring lower-order terms and constants, we can understand the basic structure of the algorithm's performance. This abstraction helps in determining that the running time is primarily driven by the n2 term, which is the most significant factor for large input sizes. The constants and lower-order terms are considered less critical in determining the overall computational efficiency.",Medium,DSA,Analysis of Algorithms,Subjective,Conceptual,14,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
Why might an algorithm's best-case running time be less informative than its worst-case running time?,"An algorithm's best-case running time might be less informative than its worst-case running time because the best-case scenario is relatively rare. Most real-world inputs are likely to fall between the best and worst cases, making the best-case running time less relevant for practical applications. The worst-case running time, on the other hand, gives a more robust guarantee about the algorithm's performance across a wide range of inputs, including the most challenging ones. Thus, the worst-case analysis is more useful for practical considerations.","An algorithm's best-case running time might be less informative than its worst-case running time because the best-case scenario is relatively rare. Most real-world inputs are likely to fall between the best and worst cases, making the best-case running time less relevant for practical applications. The worst-case running time, on the other hand, gives a more robust guarantee about the algorithm's performance across a wide range of inputs, including the most challenging ones. Thus, the worst-case analysis is more useful for practical considerations.",Medium,DSA,Algorithm Performance Analysis,Subjective,Conceptual,15,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What simplifying abstraction is made when expressing the average-case running time of INSERTION-SORT as an2 + bn + c?,"When expressing the average-case running time of INSERTION-SORT as an2 + bn + c, the simplifying abstraction is made by focusing on the leading term and ignoring lower-order terms and constant coefficients. This abstraction helps in understanding the primary rate of growth, which is quadratic, and emphasizes that the running time is dominated by the n2 term for large values of n.","When expressing the average-case running time of INSERTION-SORT as an2 + bn + c, we simplify the analysis by focusing on the leading term and ignoring lower-order terms and constant coefficients. This abstraction helps in understanding the primary rate of growth, which is quadratic, and emphasizes that the running time is dominated by the n2 term for large values of n. By reducing the complexity to a simpler form, we can better grasp the algorithm's performance characteristics.",Medium,DSA,Algorithm Performance Analysis,Objective,Fill_blank,16,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What is the significance of ignoring the constants ci and the actual statement costs when performing probabilistic analysis of an algorithm?,"When performing probabilistic analysis, we ignore the constants ci and the actual statement costs. This simplification is significant because it allows us to focus on the order of growth and the dominant term in the running time expression. By disregarding the lower-order terms and constants, we can derive a simplified formula that reflects the fundamental behavior of the algorithm. This abstraction helps in understanding the expected performance of the algorithm under varying conditions, providing a clearer picture of its average-case behavior.","When performing probabilistic analysis, we ignore the constants ci and the actual statement costs. This simplification is significant because it allows us to focus on the order of growth and the dominant term in the running time expression. By disregarding the lower-order terms and constants, we can derive a simplified formula that reflects the fundamental behavior of the algorithm. This abstraction helps in understanding the expected performance of the algorithm under varying conditions, providing a clearer picture of its average-case behavior.",Medium,DSA,Probabilistic Analysis,Subjective,Conceptual,17,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
Why is the order of growth of an algorithm's running time important for determining its efficiency?,"The order of growth of an algorithm's running time is crucial for determining its efficiency because it indicates how the running time changes relative to the input size. Algorithms with higher orders of growth (like quadratic or cubic) are less efficient for large input sizes compared to those with lower orders (like linear or logarithmic). Understanding the order of growth helps in identifying the scalability of the algorithm, allowing us to predict how well it will perform as the input size increases. This information is vital for choosing the most appropriate algorithm for practical applications, especially in scenarios where large datasets are involved.","The order of growth of an algorithm's running time is crucial for determining its efficiency because it indicates how the running time changes relative to the input size. Algorithms with higher orders of growth (like quadratic or cubic) are less efficient for large input sizes compared to those with lower orders (like linear or logarithmic). Understanding the order of growth helps in identifying the scalability of the algorithm, allowing us to predict how well it will perform as the input size increases. This information is vital for choosing the most appropriate algorithm for practical applications, especially in scenarios where large datasets are involved.",Medium,DSA,Analysis of Algorithms,Subjective,Conceptual,18,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
How does the average-case analysis of an algorithm benefit from the assumption that all inputs of a given size are equally likely?,"The assumption that all inputs of a given size are equally likely is beneficial for the average-case analysis because it allows us to calculate the expected running time without needing to know the specific distribution of inputs. By making this assumption, we can treat the running time as if it were uniformly distributed over all possible inputs of the given size. This simplification leads to a straightforward calculation of the average running time, which is often sufficient for practical purposes. The average-case analysis provides a good estimate of the algorithm's expected performance, which is useful for comparing different algorithms and making informed decisions based on expected outcomes.","The assumption that all inputs of a given size are equally likely is beneficial for the average-case analysis because it allows us to calculate the expected running time without needing to know the specific distribution of inputs. By making this assumption, we can treat the running time as if it were uniformly distributed over all possible inputs of the given size. This simplification leads to a straightforward calculation of the average running time, which is often sufficient for practical purposes. The average-case analysis provides a good estimate of the algorithm's expected performance, which is useful for comparing different algorithms and making informed decisions based on expected outcomes.",Medium,DSA,Algorithm Performance Analysis,Subjective,Conceptual,19,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
What does it mean when an algorithm's worst-case running time is a linear function of n?,"When an algorithm's worst-case running time is a linear function of n, it means that the running time grows proportionally to the input size. Specifically, the worst-case running time can be expressed as T(n) = an + b, where 'a' is a constant and 'b' is another constant. This indicates that for very large input sizes, the algorithm's performance will be directly proportional to the size of the input, without any additional factors.","When an algorithm's worst-case running time is a linear function of n, it means that the running time grows proportionally to the input size. Specifically, the worst-case running time can be expressed as T(n) = an + b, where 'a' is a constant and 'b' is another constant. This indicates that for very large input sizes, the algorithm's performance will be directly proportional to the size of the input, without any additional factors.",Easy,DSA,Insertion Sort,Objective,MCQ,20,2,1,Introduction to Algorithms - CLRS 3rd Edition,47 - 56
Which of the following best describes why the assumption that the original problem size is a power of 2 does not affect the order of growth of the solution to the recurrence?,The assumption that the original problem size is a power of 2 does not affect the order of growth of the solution to the recurrence because the overall asymptotic behavior of the recurrence relation remains unchanged.,"The text states that although the original problem size being a power of 2 simplifies some calculations, it does not influence the overall order of growth of the solution. This is because the asymptotic behavior of the recurrence relation remains the same regardless of whether n is a power of 2 or not.",Easy,DSA,Recurrences and Master Theorem,Objective,MCQ,1,3,1,Introduction to Algorithms - CLRS 3rd Edition,57 - 66
"According to the provided information, what is the recurrence relation for T(n), the worst-case running time of merge sort on n numbers?","The recurrence relation for T(n), the worst-case running time of merge sort on n numbers, is given by:
\[ T(n) = \begin{cases} 
\text{‚(1)} & \text{if } n = 1 \\
2T(n/2) + \text{‚(n)} & \text{if } n > 1 \\
\end{cases} \]","The recurrence relation is given as T(n) = 
(
 ‚(1) if n = 1;
 2T(n/2) + ‚(n) if n > 1 :",Easy,DSA,Recurrences and Master Theorem,Objective,MCQ,2,3,1,Introduction to Algorithms - CLRS 3rd Edition,57 - 66
What is the significance of the constant c in the recurrence relation T(n) = 2T(n/2) + cn for merge sort?,The constant c in the recurrence relation \( T(n) = 2T(n/2) + cn \) represents the time required to solve problems of size 1 as well as the time per array element of the divide and combine steps. It is significant as it determines the overall running time complexity of merge sort.,"In the context of merge sort, c represents the time required to solve problems of size 1 as well as the time per array element of the divide and combine steps. This constant factor is crucial as it affects the overall running time complexity, which is analyzed in terms of big O notation.",Easy,DSA,Recurrences and Master Theorem,Objective,MCQ,3,3,1,Introduction to Algorithms - CLRS 3rd Edition,57 - 66
"For the recurrence relation T(n) = 2T(n/2) + cn, which of the following is true about the number of levels in the recursion tree?","For the recurrence relation \( T(n) = 2T(n/2) + cn \), the number of levels in the recursion tree is \( \log_2 n + 1 \).","The recurrence relation T(n) = 2T(n/2) + cn indicates that the recursion tree will have levels corresponding to the powers of 2 less than or equal to n. Given that n is assumed to be a power of 2, the tree will have exactly log base 2 of n + 1 levels.",Easy,DSA,Recurrences and Master Theorem,Objective,MCQ,4,3,1,Introduction to Algorithms - CLRS 3rd Edition,57 - 66
"When analyzing the recurrence relation T(n) = 2T(n/2) + cn using the recursion tree method, what is the total cost at each level of the tree?","When analyzing the recurrence relation \( T(n) = 2T(n/2) + cn \) using the recursion tree method, the total cost at each level is \( c \cdot n \). Therefore, the total cost across all levels is \( cn (\log_2 n + 1) \).","At each level, there are \( 2^i \) nodes, and each node contributes a cost of \( c \cdot n / 2^i \). Therefore, the total cost at level i is \( 2^i \cdot c \cdot n / 2^i = c \cdot n \). Summing these costs for all levels from 0 to \( \log_2 n \) gives a total cost of \( cn (\log_2 n + 1) \).",Medium,,Recurrences and Master Theorem,Objective,MCQ,5,3,1,Introduction to Algorithms - CLRS 3rd Edition,57 - 66
